College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State
University of North Texas,18-Oct,107250000,100,"Solar, Wind",TX
The Ohio State University,18-Oct,105651613,18,Wind,OH
University of Missouri,18-Oct,104001209,42,"Biomass, Solar, Wind",MO
Northwestern University,18-Oct,100370800,39,"Solar, Wind",IL
Oklahoma State University,18-Oct,97484877,72,Wind,OK
University of Maryland,18-Oct,96927825,34,"Biogas, Small Hydro, Solar, Wind",MD
Drexel University,18-Oct,87766000,104,"Solar, Wind",PA
George Washington University,18-Oct,79501035,65,Solar,DC
University of South Florida,18-Oct,78654500,40,Wind,FL
Arizona State University,18-Oct,73900000,22,"Biogas, Biomass, Solar",AZ
University of Wisconsin,18-Oct,72168457,16,"Biogas, Solar, Wind",WI
The City University of New York,18-Oct,64000000,14,Wind,NY
Ohio University,18-Oct,60539865,50,"Solar, Wind",OH
Southern Illinois University Edwardsville,18-Oct,57881742,100,Wind,IL
University of Minnesota,18-Oct,57800000,16,"Solar, Wind",MN
University of Vermont,18-Oct,57716250,96,"Biogas, Solar, Wind",VT
American University,18-Oct,56554441,103,Various,DC
Temple University,18-Oct,55102500,25,Wind,PA
University of New Hampshire,18-Oct,46469000,65,Wind,NH
Syracuse University,18-Oct,40250000,35,Wind,NY
The Catholic University of America,18-Oct,37881775,100,Wind,DC
University of Illinois at Urbana-Champaign,18-Oct,30533994,7,"Solar, Wind",IL
"University of Tennesee, Knoxville",18-Jul,"250,070,000",94,"Solar, Wind",TN
"University at Buffalo, The State University of New York",18-Jul,"219,284,258",100,"Biomass, Solar",NY
University of Pennsylvania,18-Jul,"200,000,000",60,Wind,PA
University of California,18-Jul,"182,762,683",15,"Biogas, Solar, Wind",CA
Georgetown University,18-Jul,"159,499,000",133,Wind,DC
Stanford University,18-Jul,"157,734,220",65,Solar,CA
Carnegie Mellon University,18-Jul,"126,281,076",100,"Solar, Wind",PA
University of Oklahoma,18-Jul,"124,573,400",67,Wind,OK
University of North Texas,18-Jul,"107,250,000",100,"Solar, Wind",TX
The Ohio State University,18-Jul,"105,651,613",18,Wind,OH
Northwestern University,18-Jul,"100,370,800",39,"Solar, Wind",IL
University of Missouri,18-Jul,"97,892,973",37,"Biomass, Solar, Wind",MO
Oklahoma State University,18-Jul,"97,484,877",72,Wind,OK
University of Maryland,18-Jul,"96,927,825",34,"Biogas, Small Hydro, Solar, Wind",MD
Drexel University,18-Jul,"87,766,000",104,"Solar, Wind",PA
George Washington University,18-Jul,"79,501,035",65,Solar,DC
University of South Florida,18-Jul,"78,654,500",40,Wind,FL
Arizona State University,18-Jul,"73,900,000",22,"Biogas, Biomass, Solar",AZ
University of Wisconsin,18-Jul,"72,168,457",16,"Biogas, Solar, Wind",WI
University of New Hampshire,18-Jul,"70,739,000",100,Wind,NH
Tarrant County College District,18-Jul,"66,255,000",70,"Biogas, Biomass, Small Hydro, Solar, Wind",TX
The City University of New York,18-Jul,"64,000,000",14,Wind,NY
Ohio University,18-Jul,"60,622,672",50,"Solar, Wind",OH
University of Vermont,18-Jul,"59,533,000",99,Wind,VT
University of Minnesota,18-Jul,"57,800,000",16,"Solar, Wind",MN
American University,18-Jul,"56,554,441",103,Solar,DC
Temple University,18-Jul,"55,102,500",25,Wind,PA
Syracuse University,18-Jul,"41,000,000",35,Wind,NY
Western Washington University,18-Jul,"40,000,000",110,Wind,WA
The Catholic University of America,18-Jul,"39,090,882",100,Wind,DC
"University of Tennesee, Knoxville",18-Apr,250070000,94,"Solar, Wind",TN
SUNY University at Buffalo,18-Apr,219284258,100,"Biomass,Solar",NY
University of Pennsylvania,18-Apr,200000000,60,Wind,PA
University of California,18-Apr,182762683,15,"Biogas,Solar,Wind",CA
Georgetown University,18-Apr,159499000,133,Wind,DC
Stanford University,18-Apr,157734220,56,Solar ,CA
Carnegie Mellon University,18-Apr,126281076,100,"Solar,Wind",NY
University of Oklahoma,18-Apr,124573400,67,Wind,OK
University of North Texas,18-Apr,107250000,100,"Solar, Wind",TX
The Ohio State University,18-Apr,105651613,18,Wind,OH
Northwestern University,18-Apr,100370800,39,"Solar,",IL
University of Missouri,18-Apr,97892973,37,"Biomass,Solar,Wind",MO
Oklahoma State University,18-Apr,97484877,72,Wind,OK
University of Maryland,18-Apr,96927825,34,"Biogas,Small Hydro,Solar,Wind",MD
Drexel University,18-Apr,87766000,104,"Solar,Wind",PA
George Washington University,18-Apr,79501035,65,Solar,DC
University of South Florida,18-Apr,78654500,40,Wind,FL
Arizona State University,18-Apr,73900000,22,"Biogas,Bimoass, Solar",AZ
University of Wisconsin,18-Apr,72168457,16,"Biogas,Solar,Wind",WI
University of New Hampshire,18-Apr,70739000,100,Wind,NH
Tarrant County College District,18-Apr,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX
The City University of New York,18-Apr,64000000,14,Wind,NY
Ohio University,18-Apr,60622672,50,"Solar, Wind",OH
University of Vermont,18-Apr,59533000,99,Wind,VT
University of Minnesota,18-Apr,57800000,16,"Solar, Wind",MN
American University,18-Apr,56554441,103,Solar,DC
Temple University,18-Apr,55102500,25,Wind,PA
Syracuse University,18-Apr,41000000,35,Wind,NY
Western Washington University,18-Apr,40000000,119,Wind,WA
The Catholic University of America,18-Apr,39090882,100,Wind,DC
"University of Tennesee, Knoxville",18-Jan,250070000,94,"Solar,Wind",TN
