College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long,City location of institution,Hours of sunlight per city,Average enrollment from 2020 - 2018
The Ohio State University,10/19/2020,99742483,17,"Biomass, Solar, Wind",OH,13,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,7/27/2020,99742483,17,Wind,OH,14,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,4/27/2020,99742483,17,Wind,OH,16,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,1/27/2020,85505575,14,Wind,OH,19,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,7/29/2019,85505575,14,Wind,OH,16,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,4/22/2019,85505575,14,Wind,OH,16,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,2/5/2019,105651613,18,Wind,OH,10,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,10/29/2018,105651613,18,Wind,OH,10,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,7/23/2018,105651613,18,Wind,OH,10,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,4/25/2018,105651613,18,Wind,OH,10,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,1/22/2018,107499814,17,Wind,OH,10,39.999387,-83.02271,Columbus,2182.6,61310
"University at Buffalo, The State University of New York",7/26/2021,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",4/26/2021,216403405,102,"Solar, Wind",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",1/25/2021,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",10/19/2020,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",7/27/2020,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
"University at Buffalo, The State University of New York",4/27/2020,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879,Buffalo,2206.6,31924.33
